********************
Train and test 60-40% split with test_fold official
File number in train dataset: 539
********************
Extracting individual breathing cycles..
[Preprocessed train dataset information]
total number of audio data: 4142
Class 0 (normal) : 2063 (49.8%)
Class 1 (crackle): 1215 (29.3%)
Class 2 (wheeze) : 501  (12.1%)
Class 3 (both)   : 363  (8.8%)
********************
Train and test 60-40% split with test_fold official
File number in test dataset: 381
********************
Extracting individual breathing cycles..
[Preprocessed test dataset information]
total number of audio data: 2756
Class 0 (normal) : 1579 (57.3%)
Class 1 (crackle): 649  (23.5%)
Class 2 (wheeze) : 385  (14.0%)
Class 3 (both)   : 143  (5.2%)
---------------AST Model Summary---------------
ImageNet pretraining: True, AudioSet pretraining: True
frequncey stride=10, time stride=10
number of patches=948
********************
Training for 50 epochs on icbhi dataset
Train: [1][10/517]	BT 0.225 (4.340)	DT 0.028 (0.276)	loss 1.848 (1.648)	Acc@1 37.500 (26.250)
Train: [1][20/517]	BT 0.214 (2.282)	DT 0.028 (0.152)	loss 1.897 (1.516)	Acc@1 12.500 (40.000)
Train: [1][30/517]	BT 0.225 (1.597)	DT 0.028 (0.111)	loss 1.582 (1.570)	Acc@1 25.000 (35.000)
Train: [1][40/517]	BT 0.225 (1.254)	DT 0.027 (0.090)	loss 1.192 (1.545)	Acc@1 50.000 (31.562)
Train: [1][50/517]	BT 0.225 (1.048)	DT 0.027 (0.078)	loss 1.452 (1.464)	Acc@1 25.000 (36.250)
Train: [1][60/517]	BT 0.226 (0.912)	DT 0.028 (0.070)	loss 1.448 (1.434)	Acc@1 62.500 (38.958)
Train: [1][70/517]	BT 0.226 (0.814)	DT 0.028 (0.064)	loss 1.037 (1.383)	Acc@1 62.500 (40.893)
Train: [1][80/517]	BT 0.228 (0.740)	DT 0.030 (0.059)	loss 1.150 (1.348)	Acc@1 37.500 (42.812)
Train: [1][90/517]	BT 0.215 (0.683)	DT 0.027 (0.056)	loss 1.989 (1.340)	Acc@1 37.500 (44.167)
Train: [1][100/517]	BT 0.226 (0.639)	DT 0.028 (0.055)	loss 1.148 (1.316)	Acc@1 50.000 (44.500)
Train: [1][110/517]	BT 0.227 (0.602)	DT 0.028 (0.052)	loss 1.376 (1.306)	Acc@1 62.500 (45.000)
Train: [1][120/517]	BT 0.227 (0.570)	DT 0.028 (0.050)	loss 1.176 (1.285)	Acc@1 37.500 (45.729)
Train: [1][130/517]	BT 0.226 (0.544)	DT 0.027 (0.049)	loss 0.696 (1.257)	Acc@1 75.000 (47.019)
Train: [1][140/517]	BT 0.225 (0.521)	DT 0.027 (0.047)	loss 1.306 (1.240)	Acc@1 37.500 (47.232)
Train: [1][150/517]	BT 0.228 (0.502)	DT 0.028 (0.046)	loss 0.590 (1.221)	Acc@1 75.000 (48.583)
Train: [1][160/517]	BT 0.227 (0.485)	DT 0.028 (0.045)	loss 1.058 (1.213)	Acc@1 62.500 (49.766)
Train: [1][170/517]	BT 0.228 (0.470)	DT 0.028 (0.044)	loss 1.369 (1.211)	Acc@1 50.000 (50.000)
Train: [1][180/517]	BT 0.228 (0.456)	DT 0.028 (0.043)	loss 1.347 (1.208)	Acc@1 25.000 (50.000)
Train: [1][190/517]	BT 0.228 (0.444)	DT 0.028 (0.042)	loss 0.908 (1.200)	Acc@1 50.000 (50.000)
Train: [1][200/517]	BT 0.229 (0.433)	DT 0.029 (0.042)	loss 1.148 (1.199)	Acc@1 50.000 (49.688)
Train: [1][210/517]	BT 0.230 (0.424)	DT 0.029 (0.041)	loss 1.248 (1.195)	Acc@1 37.500 (50.000)
Train: [1][220/517]	BT 0.229 (0.415)	DT 0.028 (0.040)	loss 0.953 (1.188)	Acc@1 50.000 (50.341)
Train: [1][230/517]	BT 0.230 (0.407)	DT 0.029 (0.040)	loss 0.809 (1.183)	Acc@1 87.500 (50.761)
Train: [1][240/517]	BT 0.230 (0.400)	DT 0.028 (0.040)	loss 1.084 (1.182)	Acc@1 50.000 (50.625)
Train: [1][250/517]	BT 0.230 (0.393)	DT 0.029 (0.039)	loss 0.726 (1.171)	Acc@1 75.000 (51.300)
Train: [1][260/517]	BT 0.230 (0.386)	DT 0.029 (0.039)	loss 1.273 (1.171)	Acc@1 25.000 (51.442)
Train: [1][270/517]	BT 0.230 (0.381)	DT 0.028 (0.038)	loss 0.753 (1.169)	Acc@1 62.500 (51.157)
Train: [1][280/517]	BT 0.230 (0.375)	DT 0.029 (0.038)	loss 0.375 (1.159)	Acc@1 75.000 (51.696)
Train: [1][290/517]	BT 0.231 (0.370)	DT 0.029 (0.038)	loss 1.758 (1.153)	Acc@1 37.500 (51.767)
Train: [1][300/517]	BT 0.232 (0.366)	DT 0.028 (0.037)	loss 1.495 (1.146)	Acc@1 12.500 (51.917)
Train: [1][310/517]	BT 0.231 (0.361)	DT 0.029 (0.037)	loss 0.915 (1.146)	Acc@1 50.000 (52.097)
Train: [1][320/517]	BT 0.231 (0.357)	DT 0.029 (0.037)	loss 1.371 (1.141)	Acc@1 50.000 (52.266)
Train: [1][330/517]	BT 0.230 (0.353)	DT 0.029 (0.037)	loss 1.035 (1.136)	Acc@1 37.500 (52.348)
Train: [1][340/517]	BT 0.235 (0.350)	DT 0.033 (0.036)	loss 1.311 (1.134)	Acc@1 37.500 (52.647)
Train: [1][350/517]	BT 0.232 (0.346)	DT 0.029 (0.036)	loss 1.181 (1.135)	Acc@1 50.000 (53.143)
Train: [1][360/517]	BT 0.230 (0.343)	DT 0.028 (0.036)	loss 0.864 (1.128)	Acc@1 75.000 (53.368)
Train: [1][370/517]	BT 0.232 (0.340)	DT 0.029 (0.036)	loss 0.756 (1.130)	Acc@1 62.500 (53.142)
Train: [1][380/517]	BT 0.231 (0.337)	DT 0.028 (0.036)	loss 0.637 (1.125)	Acc@1 75.000 (53.454)
Train: [1][390/517]	BT 0.230 (0.335)	DT 0.028 (0.035)	loss 0.584 (1.121)	Acc@1 87.500 (53.718)
Train: [1][400/517]	BT 0.231 (0.332)	DT 0.029 (0.035)	loss 0.561 (1.116)	Acc@1 87.500 (53.844)
Train: [1][410/517]	BT 0.232 (0.330)	DT 0.030 (0.035)	loss 1.179 (1.113)	Acc@1 50.000 (53.994)
Train: [1][420/517]	BT 0.232 (0.327)	DT 0.029 (0.035)	loss 0.544 (1.110)	Acc@1 62.500 (54.107)
Train: [1][430/517]	BT 0.237 (0.325)	DT 0.028 (0.035)	loss 1.345 (1.106)	Acc@1 62.500 (54.419)
Train: [1][440/517]	BT 0.231 (0.323)	DT 0.029 (0.035)	loss 0.930 (1.103)	Acc@1 75.000 (54.801)
Train: [1][450/517]	BT 0.231 (0.321)	DT 0.029 (0.035)	loss 0.818 (1.102)	Acc@1 50.000 (54.944)
Train: [1][460/517]	BT 0.234 (0.319)	DT 0.029 (0.034)	loss 1.787 (1.096)	Acc@1 62.500 (55.245)
Train: [1][470/517]	BT 0.231 (0.317)	DT 0.029 (0.034)	loss 1.288 (1.095)	Acc@1 37.500 (55.479)
Train: [1][480/517]	BT 0.232 (0.315)	DT 0.029 (0.034)	loss 1.000 (1.096)	Acc@1 50.000 (55.260)
Train: [1][490/517]	BT 0.232 (0.314)	DT 0.030 (0.034)	loss 1.001 (1.094)	Acc@1 75.000 (55.510)
Train: [1][500/517]	BT 0.235 (0.312)	DT 0.032 (0.034)	loss 1.382 (1.096)	Acc@1 37.500 (55.525)
Train: [1][510/517]	BT 0.232 (0.310)	DT 0.029 (0.034)	loss 0.904 (1.093)	Acc@1 62.500 (55.490)
Train epoch 1, total time 160.24, accuracy:55.59
 * S_p: 60.16, S_e: 52.34, Score: 56.25 (Best S_p: 60.16, S_e: 52.34, Score: 56.25)
 * Acc@1 56.82
Best ckpt is modified with Score = 56.25 when Epoch = 1
==> Saving...
Train: [2][10/517]	BT 0.232 (0.432)	DT 0.029 (0.196)	loss 1.051 (0.784)	Acc@1 37.500 (71.250)
Train: [2][20/517]	BT 0.233 (0.331)	DT 0.029 (0.112)	loss 0.737 (0.779)	Acc@1 87.500 (75.000)
Train: [2][30/517]	BT 0.231 (0.298)	DT 0.029 (0.085)	loss 0.720 (0.819)	Acc@1 75.000 (70.000)
Train: [2][40/517]	BT 0.231 (0.282)	DT 0.029 (0.071)	loss 1.498 (0.898)	Acc@1 50.000 (67.188)
Train: [2][50/517]	BT 0.230 (0.272)	DT 0.028 (0.062)	loss 0.848 (0.903)	Acc@1 62.500 (66.750)
Train: [2][60/517]	BT 0.233 (0.265)	DT 0.029 (0.057)	loss 1.102 (0.947)	Acc@1 37.500 (67.083)
Train: [2][70/517]	BT 0.232 (0.260)	DT 0.030 (0.053)	loss 0.702 (0.929)	Acc@1 75.000 (66.071)
Train: [2][80/517]	BT 0.231 (0.257)	DT 0.028 (0.050)	loss 0.595 (0.919)	Acc@1 75.000 (65.781)
Train: [2][90/517]	BT 0.230 (0.254)	DT 0.028 (0.048)	loss 0.268 (0.897)	Acc@1 87.500 (66.667)
Train: [2][100/517]	BT 0.231 (0.252)	DT 0.028 (0.046)	loss 1.215 (0.911)	Acc@1 62.500 (66.625)
Train: [2][110/517]	BT 0.230 (0.250)	DT 0.028 (0.044)	loss 0.708 (0.913)	Acc@1 62.500 (66.364)
Train: [2][120/517]	BT 0.232 (0.248)	DT 0.029 (0.043)	loss 0.624 (0.906)	Acc@1 87.500 (66.458)
Train: [2][130/517]	BT 0.231 (0.247)	DT 0.029 (0.042)	loss 1.156 (0.909)	Acc@1 50.000 (66.250)
Train: [2][140/517]	BT 0.230 (0.246)	DT 0.028 (0.041)	loss 0.884 (0.916)	Acc@1 62.500 (65.804)
Train: [2][150/517]	BT 0.230 (0.245)	DT 0.029 (0.040)	loss 0.595 (0.914)	Acc@1 62.500 (66.000)
Train: [2][160/517]	BT 0.230 (0.244)	DT 0.028 (0.039)	loss 1.186 (0.917)	Acc@1 37.500 (65.781)
Train: [2][170/517]	BT 0.230 (0.243)	DT 0.028 (0.039)	loss 1.233 (0.913)	Acc@1 62.500 (65.882)
Train: [2][180/517]	BT 0.231 (0.242)	DT 0.028 (0.038)	loss 1.084 (0.915)	Acc@1 37.500 (65.625)
Train: [2][190/517]	BT 0.231 (0.242)	DT 0.029 (0.038)	loss 0.229 (0.914)	Acc@1 100.000 (65.921)
Train: [2][200/517]	BT 0.229 (0.241)	DT 0.028 (0.037)	loss 1.178 (0.916)	Acc@1 50.000 (65.562)
Train: [2][210/517]	BT 0.228 (0.241)	DT 0.027 (0.037)	loss 0.809 (0.907)	Acc@1 62.500 (65.595)
Train: [2][220/517]	BT 0.229 (0.240)	DT 0.028 (0.036)	loss 0.720 (0.907)	Acc@1 62.500 (65.682)
Train: [2][230/517]	BT 0.230 (0.240)	DT 0.028 (0.036)	loss 0.828 (0.913)	Acc@1 50.000 (65.272)
Train: [2][240/517]	BT 0.230 (0.239)	DT 0.028 (0.036)	loss 1.956 (0.912)	Acc@1 37.500 (65.521)
Train: [2][250/517]	BT 0.232 (0.239)	DT 0.029 (0.036)	loss 1.700 (0.911)	Acc@1 62.500 (65.850)
Train: [2][260/517]	BT 0.231 (0.239)	DT 0.029 (0.035)	loss 1.130 (0.911)	Acc@1 50.000 (65.769)
Train: [2][270/517]	BT 0.233 (0.238)	DT 0.029 (0.035)	loss 0.304 (0.904)	Acc@1 100.000 (66.019)
Train: [2][280/517]	BT 0.230 (0.238)	DT 0.029 (0.035)	loss 0.626 (0.903)	Acc@1 50.000 (66.027)
Train: [2][290/517]	BT 0.233 (0.238)	DT 0.031 (0.035)	loss 0.740 (0.903)	Acc@1 62.500 (66.293)
Train: [2][300/517]	BT 0.230 (0.238)	DT 0.028 (0.035)	loss 1.571 (0.902)	Acc@1 25.000 (66.292)
Train: [2][310/517]	BT 0.236 (0.238)	DT 0.029 (0.034)	loss 0.922 (0.897)	Acc@1 62.500 (66.210)
Train: [2][320/517]	BT 0.233 (0.237)	DT 0.029 (0.034)	loss 0.591 (0.899)	Acc@1 75.000 (66.250)
Train: [2][330/517]	BT 0.232 (0.237)	DT 0.029 (0.034)	loss 0.855 (0.895)	Acc@1 87.500 (66.477)
Train: [2][340/517]	BT 0.234 (0.237)	DT 0.029 (0.034)	loss 0.835 (0.899)	Acc@1 50.000 (65.956)
Train: [2][350/517]	BT 0.233 (0.237)	DT 0.029 (0.034)	loss 0.833 (0.896)	Acc@1 50.000 (65.893)
Train: [2][360/517]	BT 0.232 (0.237)	DT 0.030 (0.034)	loss 0.264 (0.897)	Acc@1 100.000 (65.972)
Train: [2][370/517]	BT 0.266 (0.238)	DT 0.057 (0.034)	loss 0.955 (0.896)	Acc@1 62.500 (66.014)
Train: [2][380/517]	BT 0.248 (0.238)	DT 0.038 (0.034)	loss 1.759 (0.895)	Acc@1 25.000 (65.789)
Train: [2][390/517]	BT 0.245 (0.238)	DT 0.037 (0.034)	loss 0.776 (0.891)	Acc@1 62.500 (65.929)
Train: [2][400/517]	BT 0.231 (0.238)	DT 0.029 (0.034)	loss 0.707 (0.892)	Acc@1 50.000 (65.688)
Train: [2][410/517]	BT 0.234 (0.238)	DT 0.032 (0.034)	loss 0.437 (0.888)	Acc@1 87.500 (65.701)
Train: [2][420/517]	BT 0.237 (0.238)	DT 0.031 (0.034)	loss 1.802 (0.889)	Acc@1 50.000 (65.744)
Train: [2][430/517]	BT 0.237 (0.238)	DT 0.031 (0.034)	loss 0.588 (0.892)	Acc@1 75.000 (65.581)
Train: [2][440/517]	BT 0.232 (0.238)	DT 0.029 (0.034)	loss 1.022 (0.891)	Acc@1 62.500 (65.398)
Train: [2][450/517]	BT 0.241 (0.238)	DT 0.034 (0.034)	loss 0.562 (0.893)	Acc@1 75.000 (65.361)
Train: [2][460/517]	BT 0.232 (0.238)	DT 0.028 (0.034)	loss 1.112 (0.892)	Acc@1 75.000 (65.462)
Train: [2][470/517]	BT 0.233 (0.238)	DT 0.030 (0.034)	loss 0.744 (0.892)	Acc@1 75.000 (65.585)
Train: [2][480/517]	BT 0.231 (0.238)	DT 0.029 (0.034)	loss 0.676 (0.891)	Acc@1 62.500 (65.599)
Train: [2][490/517]	BT 0.233 (0.238)	DT 0.029 (0.034)	loss 0.821 (0.889)	Acc@1 62.500 (65.536)
Train: [2][500/517]	BT 0.232 (0.238)	DT 0.029 (0.034)	loss 0.437 (0.886)	Acc@1 87.500 (65.575)
Train: [2][510/517]	BT 0.232 (0.238)	DT 0.028 (0.034)	loss 0.454 (0.887)	Acc@1 75.000 (65.539)
Train epoch 2, total time 123.24, accuracy:65.55
 * S_p: 48.26, S_e: 52.51, Score: 50.38 (Best S_p: 60.16, S_e: 52.34, Score: 56.25)
 * Acc@1 50.07
Train: [3][10/517]	BT 0.229 (0.394)	DT 0.028 (0.192)	loss 1.451 (0.843)	Acc@1 75.000 (68.750)
Train: [3][20/517]	BT 0.231 (0.312)	DT 0.029 (0.110)	loss 0.244 (0.754)	Acc@1 100.000 (73.750)
Train: [3][30/517]	BT 0.235 (0.285)	DT 0.031 (0.083)	loss 1.120 (0.722)	Acc@1 50.000 (73.750)
Train: [3][40/517]	BT 0.230 (0.272)	DT 0.028 (0.070)	loss 0.559 (0.764)	Acc@1 75.000 (70.312)
Train: [3][50/517]	BT 0.235 (0.264)	DT 0.034 (0.062)	loss 0.571 (0.790)	Acc@1 87.500 (69.250)
Train: [3][60/517]	BT 0.229 (0.258)	DT 0.028 (0.056)	loss 1.596 (0.806)	Acc@1 75.000 (69.167)
Train: [3][70/517]	BT 0.229 (0.254)	DT 0.028 (0.052)	loss 0.664 (0.799)	Acc@1 75.000 (69.286)
Train: [3][80/517]	BT 0.230 (0.251)	DT 0.028 (0.049)	loss 1.345 (0.804)	Acc@1 37.500 (68.750)
Train: [3][90/517]	BT 0.229 (0.249)	DT 0.028 (0.047)	loss 0.928 (0.791)	Acc@1 50.000 (69.028)
Train: [3][100/517]	BT 0.231 (0.247)	DT 0.029 (0.045)	loss 0.882 (0.809)	Acc@1 62.500 (68.750)
Train: [3][110/517]	BT 0.233 (0.246)	DT 0.030 (0.044)	loss 0.411 (0.814)	Acc@1 75.000 (69.205)
Train: [3][120/517]	BT 0.230 (0.244)	DT 0.028 (0.043)	loss 0.576 (0.820)	Acc@1 87.500 (69.271)
Train: [3][130/517]	BT 0.233 (0.243)	DT 0.031 (0.041)	loss 0.916 (0.817)	Acc@1 50.000 (69.327)
Train: [3][140/517]	BT 0.231 (0.242)	DT 0.029 (0.040)	loss 0.544 (0.804)	Acc@1 75.000 (69.821)
Train: [3][150/517]	BT 0.231 (0.242)	DT 0.028 (0.040)	loss 0.329 (0.806)	Acc@1 75.000 (69.667)
Train: [3][160/517]	BT 0.232 (0.241)	DT 0.030 (0.039)	loss 1.326 (0.796)	Acc@1 75.000 (69.922)
Train: [3][170/517]	BT 0.234 (0.240)	DT 0.031 (0.038)	loss 0.333 (0.793)	Acc@1 100.000 (70.147)
Train: [3][180/517]	BT 0.231 (0.240)	DT 0.028 (0.038)	loss 0.763 (0.794)	Acc@1 62.500 (70.139)
Train: [3][190/517]	BT 0.232 (0.239)	DT 0.030 (0.037)	loss 0.442 (0.795)	Acc@1 87.500 (70.263)
Train: [3][200/517]	BT 0.230 (0.239)	DT 0.028 (0.037)	loss 1.304 (0.795)	Acc@1 25.000 (69.875)
Train: [3][210/517]	BT 0.233 (0.239)	DT 0.031 (0.037)	loss 1.400 (0.803)	Acc@1 37.500 (69.286)
Train: [3][220/517]	BT 0.233 (0.238)	DT 0.028 (0.036)	loss 0.458 (0.799)	Acc@1 100.000 (69.318)
Train: [3][230/517]	BT 0.229 (0.238)	DT 0.028 (0.036)	loss 0.544 (0.797)	Acc@1 62.500 (69.457)
Train: [3][240/517]	BT 0.231 (0.238)	DT 0.029 (0.036)	loss 0.168 (0.785)	Acc@1 75.000 (69.688)
Train: [3][250/517]	BT 0.231 (0.237)	DT 0.028 (0.035)	loss 1.252 (0.794)	Acc@1 87.500 (69.750)
Train: [3][260/517]	BT 0.232 (0.237)	DT 0.028 (0.035)	loss 0.490 (0.797)	Acc@1 87.500 (69.856)
Train: [3][270/517]	BT 0.231 (0.237)	DT 0.028 (0.035)	loss 0.743 (0.800)	Acc@1 75.000 (69.676)
Train: [3][280/517]	BT 0.229 (0.237)	DT 0.028 (0.035)	loss 1.067 (0.801)	Acc@1 50.000 (69.554)
Train: [3][290/517]	BT 0.231 (0.237)	DT 0.029 (0.035)	loss 0.656 (0.799)	Acc@1 75.000 (69.612)
Train: [3][300/517]	BT 0.231 (0.236)	DT 0.029 (0.034)	loss 0.539 (0.792)	Acc@1 62.500 (69.917)
Train: [3][310/517]	BT 0.230 (0.236)	DT 0.028 (0.034)	loss 1.535 (0.794)	Acc@1 62.500 (70.000)
Train: [3][320/517]	BT 0.230 (0.236)	DT 0.029 (0.034)	loss 0.616 (0.797)	Acc@1 75.000 (69.570)
Train: [3][330/517]	BT 0.228 (0.236)	DT 0.028 (0.034)	loss 0.971 (0.800)	Acc@1 62.500 (69.432)
Train: [3][340/517]	BT 0.235 (0.236)	DT 0.032 (0.034)	loss 1.751 (0.813)	Acc@1 37.500 (68.824)
Train: [3][350/517]	BT 0.232 (0.236)	DT 0.029 (0.034)	loss 0.590 (0.812)	Acc@1 62.500 (68.786)
Train: [3][360/517]	BT 0.231 (0.236)	DT 0.029 (0.033)	loss 0.700 (0.814)	Acc@1 75.000 (68.993)
Train: [3][370/517]	BT 0.231 (0.235)	DT 0.029 (0.033)	loss 0.801 (0.815)	Acc@1 62.500 (69.054)
Train: [3][380/517]	BT 0.232 (0.235)	DT 0.028 (0.033)	loss 0.790 (0.817)	Acc@1 50.000 (68.849)
Train: [3][390/517]	BT 0.233 (0.235)	DT 0.030 (0.033)	loss 0.887 (0.819)	Acc@1 37.500 (68.526)
Train: [3][400/517]	BT 0.232 (0.235)	DT 0.029 (0.033)	loss 0.612 (0.813)	Acc@1 75.000 (68.625)
Train: [3][410/517]	BT 0.231 (0.235)	DT 0.028 (0.033)	loss 0.538 (0.815)	Acc@1 87.500 (68.598)
Train: [3][420/517]	BT 0.231 (0.235)	DT 0.029 (0.033)	loss 0.950 (0.813)	Acc@1 62.500 (68.571)
Train: [3][430/517]	BT 0.230 (0.235)	DT 0.028 (0.033)	loss 0.550 (0.811)	Acc@1 75.000 (68.634)
Train: [3][440/517]	BT 0.233 (0.235)	DT 0.029 (0.033)	loss 0.724 (0.810)	Acc@1 62.500 (68.636)
