********************
Train and test 60-40% split with test_fold official
File number in train dataset: 539
********************
Extracting individual breathing cycles..
[Preprocessed train dataset information]
total number of audio data: 4142
Class 0 (normal) : 2063 (49.8%)
Class 1 (crackle): 1215 (29.3%)
Class 2 (wheeze) : 501  (12.1%)
Class 3 (both)   : 363  (8.8%)
********************
Train and test 60-40% split with test_fold official
File number in test dataset: 381
********************
Extracting individual breathing cycles..
[Preprocessed test dataset information]
total number of audio data: 2756
Class 0 (normal) : 1579 (57.3%)
Class 1 (crackle): 649  (23.5%)
Class 2 (wheeze) : 385  (14.0%)
Class 3 (both)   : 143  (5.2%)

 Loaded SSAST-Custom-230915.pth successfully.
now load a SSL pretrained models from Custom
pretraining patch split stride: frequency=16, time=16
pretraining patch shape: frequency=16, time=16
pretraining patch array dimension: frequency=8, time=64
pretraining number of patches=512
fine-tuning patch split stride: frequncey=10, time=10
fine-tuning number of patches=948
********************
Training for 50 epochs on icbhi dataset
Train: [1][10/517]	BT 0.228 (3.361)	DT 0.029 (0.166)	loss 1.344 (1.383)	Acc@1 37.500 (51.250)
Train: [1][20/517]	BT 0.227 (1.794)	DT 0.027 (0.097)	loss 1.446 (1.392)	Acc@1 12.500 (36.250)
Train: [1][30/517]	BT 0.227 (1.272)	DT 0.027 (0.074)	loss 1.451 (1.390)	Acc@1 0.000 (37.917)
Train: [1][40/517]	BT 0.228 (1.011)	DT 0.028 (0.062)	loss 1.374 (1.391)	Acc@1 25.000 (39.062)
Train: [1][50/517]	BT 0.228 (0.854)	DT 0.028 (0.056)	loss 1.330 (1.380)	Acc@1 50.000 (39.750)
Train: [1][60/517]	BT 0.227 (0.750)	DT 0.027 (0.051)	loss 1.358 (1.371)	Acc@1 25.000 (40.000)
Train: [1][70/517]	BT 0.226 (0.676)	DT 0.025 (0.048)	loss 1.256 (1.368)	Acc@1 12.500 (38.750)
Train: [1][80/517]	BT 0.229 (0.620)	DT 0.028 (0.045)	loss 1.515 (1.369)	Acc@1 12.500 (36.250)
Train: [1][90/517]	BT 0.229 (0.576)	DT 0.028 (0.044)	loss 1.239 (1.371)	Acc@1 37.500 (35.833)
Train: [1][100/517]	BT 0.231 (0.542)	DT 0.030 (0.042)	loss 1.407 (1.370)	Acc@1 25.000 (35.875)
Train: [1][110/517]	BT 0.229 (0.513)	DT 0.028 (0.041)	loss 1.438 (1.365)	Acc@1 25.000 (35.341)
Train: [1][120/517]	BT 0.227 (0.489)	DT 0.027 (0.040)	loss 1.258 (1.363)	Acc@1 50.000 (36.562)
